0 	 -nan 
0.01 	 99.9739 
0.02 	 49.9547 
0.03 	 33.2715 
0.04 	 24.9233 
0.05 	 19.9097 
0.06 	 16.5637 
0.07 	 14.171 
0.08 	 12.3742 
0.09 	 10.9749 
0.1 	 9.85384 
0.11 	 8.93534 
0.12 	 8.16878 
0.13 	 7.51919 
0.14 	 6.96154 
0.15 	 6.4775 
0.16 	 6.0533 
0.17 	 5.67842 
0.18 	 5.34467 
0.19 	 5.04558 
0.2 	 4.77597 
0.21 	 4.53167 
0.22 	 4.30923 
0.23 	 4.10582 
0.24 	 3.91908 
0.25 	 3.74703 
0.26 	 3.58797 
0.27 	 3.44049 
0.28 	 3.30335 
0.29 	 3.17549 
0.3 	 3.05599 
0.31 	 2.94406 
0.32 	 2.83898 
0.33 	 2.74016 
0.34 	 2.64703 
0.35 	 2.55912 
0.36 	 2.47601 
0.37 	 2.3973 
0.38 	 2.32265 
0.39 	 2.25176 
0.4 	 2.18435 
0.41 	 2.12018 
0.42 	 2.059 
0.43 	 2.00062 
0.44 	 1.94485 
0.45 	 1.89152 
0.46 	 1.84048 
0.47 	 1.79157 
0.48 	 1.74467 
0.49 	 1.69967 
0.5 	 1.65644 
0.51 	 1.61489 
0.52 	 1.57492 
0.53 	 1.53645 
0.54 	 1.49938 
0.55 	 1.46366 
0.56 	 1.42921 
0.57 	 1.39596 
0.58 	 1.36385 
0.59 	 1.33282 
0.6 	 1.30283 
0.61 	 1.27383 
0.62 	 1.24576 
0.63 	 1.21859 
0.64 	 1.19227 
0.65 	 1.16676 
0.66 	 1.14204 
0.67 	 1.11806 
0.68 	 1.09479 
0.69 	 1.07221 
0.7 	 1.05028 
0.71 	 1.02898 
0.72 	 1.00829 
0.73 	 0.98817 
0.74 	 0.968608 
0.75 	 0.94958 
0.76 	 0.931067 
0.77 	 0.913049 
0.78 	 0.895507 
0.79 	 0.878423 
0.8 	 0.861782 
0.81 	 0.845566 
0.82 	 0.829762 
0.83 	 0.814355 
0.84 	 0.799331 
0.85 	 0.784676 
0.86 	 0.770379 
0.87 	 0.756427 
0.88 	 0.74281 
0.89 	 0.729515 
0.9 	 0.716534 
0.91 	 0.703855 
0.92 	 0.691469 
0.93 	 0.679367 
0.94 	 0.66754 
0.95 	 0.65598 
0.96 	 0.644678 
0.97 	 0.633627 
0.98 	 0.62282 
0.99 	 0.612249 
1 	 0.601907 
1.01 	 0.591788 
1.02 	 0.581885 
1.03 	 0.572193 
1.04 	 0.562705 
1.05 	 0.553415 
1.06 	 0.544318 
1.07 	 0.53541 
1.08 	 0.526683 
1.09 	 0.518135 
1.1 	 0.50976 
1.11 	 0.501553 
1.12 	 0.493511 
1.13 	 0.485628 
1.14 	 0.477901 
1.15 	 0.470325 
1.16 	 0.462897 
1.17 	 0.455614 
1.18 	 0.448471 
1.19 	 0.441465 
1.2 	 0.434592 
1.21 	 0.42785 
1.22 	 0.421236 
1.23 	 0.414745 
1.24 	 0.408375 
1.25 	 0.402124 
1.26 	 0.395988 
1.27 	 0.389965 
1.28 	 0.384053 
1.29 	 0.378247 
1.3 	 0.372547 
1.31 	 0.36695 
